Data Year,SCHOOL_YEAR,CESA,COUNTY,DISTRICT_CODE,DISTRICT_NAME,COHORT,COHORT_COUNT,N_COMPLETED,N_NOTCOMPLETED,GROUP_COUNT,multiple_multiple_private,instate_2yr_public,outstate_2yr_public,instate_4yr_private,instate_multiple_public,outstate_4yr_public,outstate_multiple_private,instate_4yr_public,multiple_2yr_public,outstate_4yr_multiple,multiple_multiple_public,outstate_less2_private,outstate_2yr_private,multiple_4yr_public,outstate_2yr_multiple,outstate_multiple_public,instate_4yr_multiple,multiple_4yr_multiple,multiple_multiple_multiple,multiple_4yr_private,outstate_4yr_private,instate_multiple_multiple,multiple_2yr_multiple,outstate_multiple_multiple
2021,2020-21,9,Langlade,140,Antigo Unified,2021,191,164,27,110,,29,,7,2,5,,47,,,,,,1,,,,,1,,6,1,,
2017,2016-17,4,Trempealeau,2632,Independence,2017,39,37,2,25,,6,,3,3,2,,5,,,,,,,,,2,,,,,2,,
2020,2019-20,7,Calumet,5614,Stockbridge,2020,14,13,1,9,,1,,1,,1,,4,,,,,,,,,,1,,,,,,
2019,2018-19,7,Brown,6328,West De Pere,2019,231,226,5,164,,37,,7,14,15,,55,,1,3,,,3,,1,2,2,3,,4,4,,1
2017,2016-17,4,La Crosse,4095,Onalaska,2017,233,224,9,160,,35,,3,11,24,,42,1,1,5,,,4,,1,2,2,2,1,10,2,,1
2020,2019-20,8,Oconto,5670,Suring Public,2020,27,24,3,14,,3,,,1,1,,6,,,,,,,,,,1,,,,,,
2017,2016-17,11,Dunn,1645,Elk Mound Area,2017,67,64,3,63,,15,,1,5,2,,24,,1,,,,3,,,1,,2,,2,1,,
2017,2016-17,5,Green Lake,4606,Princeton,2017,23,20,3,22,,8,,3,1,,,6,,,,,,,,,,,,,,1,,
2019,2018-19,6,Dodge,2744,Dodgeland,2019,64,61,3,28,,9,1,,1,2,,11,,,1,,,2,,,,,,,,,,
2020,2019-20,8,Marinette,1232,Crivitz,2020,62,54,8,21,,7,,1,,2,,6,,,,,,,,,,,,,,,,
2017,2016-17,3,Grant,2912,Lancaster Community,2017,68,65,3,64,,10,2,,4,1,,33,1,,,,,2,,2,,1,3,,,,,
2019,2018-19,11,Pierce,4459,Plum City,2019,22,17,5,14,,4,,,2,2,,2,2,,1,,,1,,,,,,,,,,
2020,2019-20,7,Sheboygan,4473,Plymouth Joint,2020,195,186,9,118,,14,,11,8,8,,50,,,1,,,1,,,4,4,,,5,1,,
2018,2017-18,10,Clark,2226,Granton Area,2018,11,9,2,12,,9,,,1,,,1,,,,,,,,,,,,,,,,
2021,2020-21,5,Wood,6685,Wisconsin Rapids,2021,373,350,23,183,,51,,6,8,14,,83,1,,1,,,1,,,,,1,,4,2,,
2021,2020-21,4,Vernon,1421,De Soto Area,2021,42,38,4,9,,2,,2,,,,4,,,,,,,,,,,,,1,,,
2020,2019-20,3,Lafayette,1295,Darlington Community,2020,52,50,2,49,,9,1,,6,1,,27,,,,,,,,,,,2,,1,,,1
2018,2017-18,10,Trempealeau,4186,Osseo-Fairchild,2018,65,61,4,47,,8,2,,5,2,,17,,2,3,,,2,,,,,,,,,,1
2018,2017-18,3,Iowa,2646,Iowa-Grant,2018,41,40,1,30,,5,,,3,1,,10,,,1,,,2,,1,1,,,,1,2,,
2021,2020-21,5,Columbia,1183,Columbus,2021,99,87,12,41,,16,,5,2,3,,13,,,,,,,,,,,,,1,,,1
2021,2020-21,12,Iron,2618,Hurley,2021,41,40,1,30,,4,15,1,1,2,,5,,,,,,,,,,,,,1,,,
2019,2018-19,8,Marinette,4263,Beecher-Dunbar-Pembine,2019,14,14,,10,,1,,1,1,3,,1,,,,,,,,,1,,,,,1,,
2018,2017-18,4,La Crosse,2562,Holmen,2018,282,267,15,182,,42,1,5,19,16,,37,3,4,7,,,3,,2,2,3,3,,6,6,,2
2020,2019-20,10,Clark,3899,Neillsville,2020,72,68,4,27,,5,,,3,1,,13,,,,,,,,,,,,,,,,
2019,2018-19,2,Jefferson,2730,Johnson Creek,2019,45,44,1,24,,6,,3,2,1,,3,,,1,,,,,,2,,,,,,,
2020,2019-20,2,Walworth,2884,Lake Geneva-Genoa City UHS,2020,355,331,24,216,,40,6,13,2,22,,77,,,,,,5,,3,2,3,1,,21,2,,
2018,2017-18,6,Fond du Lac,4956,Rosendale-Brandon,2018,73,64,9,67,,20,1,1,6,2,,21,,,2,,,,,,,1,3,,1,2,,
2017,2016-17,11,Barron,1260,Cumberland,2017,70,68,2,40,,11,,,6,3,,11,,,3,,,1,,,,1,,,1,,,
2019,2018-19,11,Pierce,5586,Spring Valley,2019,41,40,1,29,,8,1,2,2,3,,10,,,1,,,,,,,,,,1,,,
2018,2017-18,2,Dane,3269,Madison Metropolitan,2018,1937,1594,343,1264,,296,6,53,93,106,,290,7,7,25,,,17,,9,8,23,24,2,115,18,,5
2020,2019-20,8,Shawano,5264,Shawano,2020,188,172,16,92,,30,,13,6,3,,25,1,,,,,,,,,1,,,4,3,,
2017,2016-17,1,Ozaukee,1945,Northern Ozaukee,2017,110,86,24,63,,17,,6,3,6,,15,,,2,,,2,,,1,,1,,2,1,,
2017,2016-17,2,Rock,4151,Parkview,2017,69,67,2,39,,9,,1,6,,,11,1,,,,,,,,,,1,,4,1,,
2019,2018-19,5,Green Lake,4606,Princeton,2019,26,23,3,14,,1,,3,,,,9,,,1,,,,,,,,,,,,,
2019,2018-19,5,Sauk,280,Baraboo,2019,241,228,13,135,,22,,6,5,7,,41,,,15,,,3,,,2,4,6,,3,,,2
2018,2017-18,1,Milwaukee,2303,Greenfield,2018,292,258,34,208,,44,4,23,16,2,,45,2,,4,,,,,4,7,4,3,1,7,7,,2
2019,2018-19,2,Dane,6181,Waunakee Community,2019,315,306,9,276,,36,,8,27,25,,103,,1,7,,,5,,1,1,3,5,,23,2,,
2019,2018-19,1,Ozaukee,1945,Northern Ozaukee,2019,123,112,11,42,,8,,2,9,3,,9,,,1,,,,,1,1,,,1,,3,,
2020,2019-20,6,Washington,5390,Slinger,2020,262,257,5,199,,16,,18,8,22,,77,1,1,3,,,14,,2,3,4,1,,3,3,,
2017,2016-17,11,Burnett,5376,Siren,2017,36,32,4,20,,5,3,,,,,6,,,2,,,,,1,,,,,1,,,
2021,2020-21,9,Marathon,1561,Edgar,2021,37,33,4,25,,8,,,2,2,,12,,,,,,,,,,,,,,,,
2020,2019-20,2,Rock,1568,Edgerton,2020,121,118,3,70,,10,1,3,4,1,,39,,,,,,,,,1,,,,1,,,
2021,2020-21,10,Eau Claire,217,Augusta,2021,47,46,1,22,,10,1,,1,1,,9,,,,,,,,,,,,,,,,
2018,2017-18,12,Sawyer,2478,Hayward Community,2018,152,136,16,71,,22,3,1,3,5,,12,1,1,4,,,1,,1,1,1,3,1,,1,,
2020,2019-20,3,Sauk,6354,Weston,2020,16,16,,12,,4,,1,,1,,4,,,1,,,1,,,,,,,,,,
