Data Year,SCHOOL_YEAR,CESA,COUNTY,DISTRICT_CODE,DISTRICT_NAME,COHORT,COHORT_COUNT,N_COMPLETED,N_NOTCOMPLETED,GROUP_COUNT,multiple_multiple_private,instate_2yr_public,outstate_2yr_public,instate_4yr_private,instate_multiple_public,outstate_4yr_public,outstate_multiple_private,instate_4yr_public,multiple_2yr_public,outstate_4yr_multiple,multiple_multiple_public,outstate_less2_private,outstate_2yr_private,multiple_4yr_public,outstate_2yr_multiple,outstate_multiple_public,instate_4yr_multiple,multiple_4yr_multiple,multiple_multiple_multiple,multiple_4yr_private,outstate_4yr_private,instate_multiple_multiple,multiple_2yr_multiple,outstate_multiple_multiple
2017,2016-17,1,Waukesha,4312,Pewaukee,2017,199,197,2,164,,17,,11,18,13,,55,3,2,4,,,6,,,3,1,1,,10,7,,1
2020,2019-20,2,Rock,4151,Parkview,2020,54,50,4,52,,11,,6,3,2,,20,,,1,,,,,,1,1,,1,2,,,
2018,2017-18,1,Ozaukee,1015,Cedarburg,2018,284,280,4,248,,15,,16,15,26,,93,1,4,9,,,9,,3,10,3,4,1,20,3,,
2021,2020-21,1,Milwaukee,3619,Milwaukee,2021,5147,3285,1862,1443,,432,35,227,10,101,,385,1,1,8,,,,,1,5,8,3,4,98,13,,
2021,2020-21,4,Buffalo,1155,Cochrane-Fountain City,2021,53,53,,31,,3,10,,,6,,11,,,,,,,,,,,,,,,,
2021,2020-21,3,Iowa,287,Barneveld,2021,33,33,,23,,7,1,1,1,1,,12,,,,,,,,,,,,,,,,
2017,2016-17,6,Green Lake,3325,Markesan,2017,60,58,2,46,,14,,6,4,,,12,,,1,,,,,,,,1,,1,1,,
2020,2019-20,4,Juneau,1673,Royall,2020,32,32,,16,,8,,,3,,,4,,,,,,,,,,,,,1,,,
2018,2017-18,1,Milwaukee,2177,Nicolet UHS,2018,281,270,11,211,,21,1,13,17,28,,62,1,1,1,,,5,,3,6,3,5,3,19,3,,2
2018,2017-18,3,Richland,2660,Ithaca,2018,35,33,2,22,,5,,,2,1,,2,,,1,,,,,,,,,,,5,,
2018,2017-18,12,Bayfield,315,Bayfield,2018,36,36,,15,,1,,1,2,3,,1,1,,,,,,,,,,,,,,,
2021,2020-21,7,Sheboygan,1029,Cedar Grove-Belgium Area,2021,77,75,2,37,,5,,6,1,2,,22,,,,,,,,,,,,,,,,
2018,2017-18,1,Waukesha,3925,New Berlin,2018,412,410,2,334,,25,2,33,39,15,,141,1,2,7,,,5,,1,10,1,1,,20,8,,1
2019,2018-19,8,Oconto,4074,Oconto Falls Public,2019,126,120,6,74,,22,,2,7,1,,25,,,3,,,,,,1,1,,,,2,,1
2017,2016-17,11,Barron,1080,Chetek-Weyerhaeuser Area,2017,62,62,,39,,11,,1,4,3,,11,,,,,,,,,,,,,1,,,
2017,2016-17,1,Waukesha,2450,Arrowhead UHS,2017,534,523,11,499,,49,1,24,42,59,,208,1,2,8,,,15,,3,3,5,6,,31,8,,1
2017,2016-17,6,Fond du Lac,1862,Fond du Lac,2017,533,458,75,273,,63,3,16,35,14,,76,,,3,,,3,,1,2,3,1,2,3,6,,
2019,2018-19,10,Buffalo,3668,Mondovi,2019,72,71,1,47,,9,,2,4,7,,14,2,,,,,1,,1,,,1,,1,,,1
2017,2016-17,5,Wood,3339,Marshfield Unified,2017,319,296,23,227,,47,1,6,24,20,,76,1,,4,,,1,,,,2,1,,14,2,,1
2018,2017-18,2,Green,3696,Monticello,2018,25,25,,18,,4,,,4,,,7,,,,,,,,,,1,,,,,,
2020,2019-20,8,Forest,1218,Crandon,2020,58,53,5,33,,14,,2,4,,,9,,,,,,,,,,1,,,,,,
2018,2017-18,6,Fond du Lac,4025,Oakfield,2018,39,39,,25,,6,,2,1,1,,8,,1,,,,1,,,,,,,,2,,
2020,2019-20,12,Ashland,170,Ashland,2020,177,155,22,85,,30,6,5,5,7,,13,2,1,3,,,,,,,,,,2,1,,
2017,2016-17,5,Portage,4963,Rosholt,2017,51,46,5,34,,8,,1,8,,,11,,,,,,,,,,,1,,,,,
2021,2020-21,10,Chippewa,1092,Chippewa Falls Area Unified,2021,346,326,20,185,,56,5,8,1,25,,69,,,1,,,,,1,,,,,12,1,,
2020,2019-20,7,Door,5642,Sturgeon Bay,2020,99,91,8,66,,16,,3,4,9,,20,,,,,,,,1,1,,1,,4,1,,
2018,2017-18,2,Rock,3612,Milton,2018,280,271,9,170,,31,1,9,23,15,,49,,,2,,,2,,3,1,,3,,4,2,,1
2018,2017-18,5,Columbia,3150,Lodi,2018,138,138,,83,,20,,4,11,5,,32,1,,,,,,,,,,,,1,4,,
2017,2016-17,3,Crawford,2016,North Crawford,2017,45,41,4,22,,9,1,1,,,,8,,,,,,,,,,,,,2,,,
2020,2019-20,5,Juneau,3360,Mauston,2020,110,107,3,68,,14,1,5,2,7,,29,,,,,,,,,1,,,,4,1,,
2018,2017-18,10,Rusk,5757,Flambeau,2018,42,38,4,20,,6,1,1,3,1,,4,,,1,,,,,,,,,,,,,
2017,2016-17,7,Sheboygan,5271,Sheboygan Area,2017,798,726,72,420,,120,5,39,38,11,,85,3,,1,,,3,,,9,2,5,2,19,8,,
2021,2020-21,11,Dunn,3444,Menomonie Area,2021,227,204,23,121,,40,2,2,,25,,36,1,1,,,,,,,,,,,8,,,
2019,2018-19,1,Milwaukee,8127,Milwaukee Collegiate Academy,2019,53,38,15,35,,3,,10,,4,,11,,,,,,,,,,,,,,1,,
2017,2016-17,5,Columbia,882,Cambria-Friesland,2017,23,22,1,20,,4,1,1,1,,,12,,,,,,,,,,,,,,,,
2017,2016-17,10,Clark,1162,Colby,2017,79,73,6,47,,21,,,4,1,,13,,,1,,,,,,,,,,,3,,1
2019,2018-19,10,Clark,1162,Colby,2019,60,56,4,48,,16,,1,5,2,,13,,,,,,1,,,,,,,,,,
2019,2018-19,5,Wood,6685,Wisconsin Rapids,2019,401,352,49,249,,54,2,5,33,5,,84,2,1,5,,,5,,3,2,2,2,,7,4,,
2020,2019-20,1,Milwaukee,5439,South Milwaukee,2020,282,246,36,145,,43,4,19,6,6,,37,,,2,,,,,,,1,,,6,2,,
2018,2017-18,1,Waukesha,714,Elmbrook,2018,677,652,25,496,,33,1,38,44,56,,167,,1,8,,,16,,10,5,7,6,1,54,12,,4
2020,2019-20,5,Marquette,6335,Westfield,2020,64,57,7,32,,11,,3,1,1,,10,,,,,,1,,,,,,,2,1,,
2020,2019-20,7,Calumet,1085,Chilton,2020,97,89,8,55,,24,,5,4,2,,10,,,,,,3,,,,,,,2,,,
2018,2017-18,4,Buffalo,1155,Cochrane-Fountain City,2018,58,56,2,34,,3,8,1,,4,,6,1,1,1,,,2,,,,1,1,,,1,,1
2019,2018-19,5,Waushara,4375,Tri-County Area,2019,42,39,3,26,,6,,1,3,,,11,,,,,,,,,,,,,,2,,
2017,2016-17,8,Shawano,602,Bonduel,2017,72,66,6,54,,7,2,7,5,1,,19,,,1,,,1,,,,,2,,,2,,
2017,2016-17,12,Sawyer,6615,Winter,2017,19,16,3,13,,6,1,,1,,,2,1,,,,,,,,,,1,,1,,,
2019,2018-19,8,Waupaca,3318,Marion,2019,30,28,2,16,,6,,2,2,,,4,,,,,,,,,,,,,,,,
2017,2016-17,9,Marathon,4970,D C Everest Area,2017,368,351,17,283,,63,1,4,42,22,,89,4,,7,,,5,,2,3,2,1,,8,3,,1
2018,2017-18,7,Sheboygan,1029,Cedar Grove-Belgium Area,2018,82,76,6,67,,12,,4,8,2,,20,,,4,,,1,,,1,1,,,,4,,2
2021,2020-21,5,Marquette,3689,Montello,2021,62,59,3,14,,7,,,,1,,3,,,,,,,,,,,,,1,1,,
2019,2018-19,7,Sheboygan,4137,Oostburg,2019,78,75,3,57,,12,,9,9,3,,10,,,,,,,,,1,1,,1,2,5,,2
2020,2019-20,8,Shawano,602,Bonduel,2020,70,68,2,40,,12,,5,2,,,14,,,,,,1,,,,,,,2,,,
2019,2018-19,12,Douglas,5663,Superior,2019,335,294,41,185,,20,20,1,5,19,,30,10,5,10,,,5,,10,,6,4,,20,,,
2021,2020-21,6,Fond du Lac,1862,Fond du Lac,2021,524,480,44,234,,22,3,26,1,64,,95,,,1,,,3,,,,,1,,8,,,
2020,2019-20,10,Rusk,735,Bruce,2020,31,27,4,19,,6,1,,1,,,7,,,1,,,1,,,1,,,,,,,
2017,2016-17,7,Calumet,5614,Stockbridge,2017,16,16,,6,,1,,,1,,,,,,1,,,,,,,,,,,1,,
2018,2017-18,11,Burnett,2233,Grantsburg,2018,165,139,26,85,,11,4,,5,5,,12,,,4,,,3,,2,,2,2,,4,,,1
2019,2018-19,8,Shawano,2415,Gresham,2019,25,25,,13,,1,,1,3,,,3,,1,,,,,,,1,,,,,1,,
2018,2017-18,4,Buffalo,84,Alma,2018,14,14,,11,,,2,,2,3,,1,,,,,,,,1,,,,,,,,
2020,2019-20,6,Dodge,2576,Horicon,2020,59,54,5,26,,8,1,3,,2,,9,,,,,,,,,,,1,,,1,,
2020,2019-20,10,Eau Claire,1729,Fall Creek,2020,55,55,,45,,15,,3,,5,,12,1,,1,,,,,,1,2,,,3,,,
2020,2019-20,11,Saint Croix,3962,New Richmond,2020,192,188,4,159,,29,5,2,7,24,,46,1,,7,1,,2,,4,,1,,,14,,,1
2021,2020-21,2,Racine,5852,Union Grove UHS,2021,247,242,5,73,,32,1,7,2,7,,21,,,,,,,,,,,,,2,1,,
2017,2016-17,11,Saint Croix,2198,Glenwood City,2017,53,53,,39,,6,3,1,3,3,,15,,,,,,1,,,1,,1,,,,,
2020,2019-20,11,Dunn,3444,Menomonie Area,2020,235,215,20,146,,46,,,11,13,,44,2,,2,,,3,,,,2,2,,5,,,
2020,2019-20,8,Shawano,6692,Wittenberg-Birnamwood,2020,72,67,5,42,,8,,3,1,2,,19,,,,,,,,,,,2,,1,,,
2021,2020-21,1,Waukesha,1376,Kettle Moraine,2021,330,317,13,221,,23,,29,1,30,,91,,1,,,,1,,1,,1,1,,26,1,,
2017,2016-17,8,Forest,1218,Crandon,2017,51,44,7,36,,17,,1,4,1,,5,,,,,,,,,,,1,,1,3,,
2021,2020-21,7,Sheboygan,4473,Plymouth Joint,2021,207,200,7,84,,14,,6,1,8,,44,,,,,,1,,,,,1,,5,,,
2021,2020-21,8,Marinette,3311,Marinette,2021,151,142,9,50,,14,,2,1,1,,26,,,,,,,,,,1,,,1,,,
2018,2017-18,12,Douglas,3297,Maple,2018,101,99,2,78,,9,5,1,3,9,,21,4,,4,,,4,,1,1,1,3,,3,,,2
2018,2017-18,7,Calumet,5614,Stockbridge,2018,19,18,1,11,,4,,1,1,1,,2,,,,,,1,,,,,,,,,,
2017,2016-17,11,Saint Croix,2422,Saint Croix Central,2017,100,87,13,61,,14,2,,1,8,,22,1,,,,,3,,,,1,,,5,1,,
2018,2017-18,3,Grant,2485,Southwestern Wisconsin,2018,40,39,1,25,,,3,1,2,,,11,,,1,,,,,1,1,,1,,,,,1
2017,2016-17,2,Walworth,1380,Delavan-Darien,2017,198,187,11,111,,29,2,9,7,2,,29,2,,2,,,,,1,1,,1,,2,,,
2020,2019-20,2,Walworth,1638,Elkhorn Area,2020,279,270,9,124,,18,2,7,7,3,,61,,,1,,,4,,1,3,,1,,2,4,,
2020,2019-20,2,Jefferson,6118,Waterloo,2020,61,61,,50,,19,,3,5,1,,13,,,,,,,,1,,,,,1,,,
2017,2016-17,7,Sheboygan,4641,Random Lake,2017,76,74,2,50,,14,,6,3,,,14,,,1,,,,,1,,,,,3,2,,
2018,2017-18,11,Dunn,3444,Menomonie Area,2018,249,235,14,154,,35,1,,10,16,,51,2,,4,,,6,,1,,,1,1,8,1,,
2019,2018-19,9,Marathon,3304,Marathon City,2019,55,51,4,57,,15,,,10,3,,21,1,,,,,1,,2,,,1,,,1,,
2021,2020-21,11,Burnett,5376,Siren,2021,27,26,1,24,,7,1,1,,4,,6,1,,2,,,,,,,,,,2,,,
2018,2017-18,1,Waukesha,6174,Waukesha,2018,1137,975,162,706,,107,1,42,68,33,,190,1,3,33,1,,7,,4,7,14,18,5,30,26,,
2018,2017-18,8,Oconto,4067,Oconto Unified,2018,73,65,8,51,,17,,,5,3,,20,,,1,,,,,,,,,,,,,
2017,2016-17,7,Manitowoc,4760,Reedsville,2017,56,53,3,27,,16,,,1,,,4,,,,,,,,,,,1,,,,,
2020,2019-20,2,Dane,3794,Mount Horeb Area,2020,193,186,7,131,,24,,6,4,15,,61,1,,1,,1,1,,,,1,1,,6,1,,
2021,2020-21,2,Walworth,1540,East Troy Community,2021,142,140,2,29,,8,,2,,1,,11,,,,,,,,,,1,,,3,2,,
2018,2017-18,2,Dane,5621,Stoughton Area,2018,258,242,16,213,,42,,5,28,17,,70,1,,3,,,2,,1,3,2,1,,8,2,,1
2019,2018-19,2,Dane,3794,Mount Horeb Area,2019,172,167,5,171,,22,1,7,12,21,,78,1,,4,,,1,,1,2,1,,,6,6,,1
2019,2018-19,1,Milwaukee,5026,Saint Francis,2019,144,137,7,83,,31,,9,7,1,,16,1,,1,,,,,,2,1,1,,1,1,,
2017,2016-17,7,Calumet,1085,Chilton,2017,80,75,5,60,,17,,3,5,3,,18,,,,,,1,,,4,1,,,1,2,,
2021,2020-21,11,Polk,3213,Luck,2021,29,28,1,15,,6,2,1,,,,4,,,,,,,,,,,,,1,,,
2017,2016-17,5,Waushara,6475,Wild Rose,2017,42,39,3,26,,6,1,2,2,,,11,,1,,,,,,,1,,,,,,,
2019,2018-19,8,Marinette,1232,Crivitz,2019,43,38,5,31,,4,1,,8,1,,12,1,,1,,,,,,1,,,,1,,,1
2018,2017-18,2,Rock,413,Beloit,2018,504,427,77,254,,67,6,13,24,5,,44,1,,5,,,3,,1,2,1,1,2,9,6,2,2
2019,2018-19,2,Dane,469,Wisconsin Heights,2019,64,61,3,41,,8,,5,4,3,,15,1,,,,,,,,,,1,,1,1,,
2021,2020-21,6,Dodge,2625,Hustisford,2021,31,29,2,19,,5,1,,,2,,10,,,,,,,,,,,,,,,,
2018,2017-18,10,Chippewa,2891,Lake Holcombe,2018,31,31,,15,,7,,,4,,,1,1,,1,,,,,,,,,,,,,
2018,2017-18,5,Columbia,4536,Poynette,2018,78,75,3,61,,16,,6,7,3,,19,,,1,,,,,,,,,,2,2,,
2020,2019-20,1,Ozaukee,4515,Port Washington-Saukville,2020,194,190,4,136,,7,2,16,4,19,,59,,,,,,9,,1,,2,1,1,4,,,
2019,2018-19,2,Walworth,1540,East Troy Community,2019,155,151,4,80,,25,,7,5,3,,29,,,3,,,,,,,2,,,2,1,,
2021,2020-21,4,La Crosse,4095,Onalaska,2021,244,235,9,130,,45,2,11,,13,,46,,,1,,,,,,,,1,,9,,,
2018,2017-18,6,Green Lake,434,Berlin Area,2018,130,114,16,94,,24,,12,4,3,,30,1,,2,,,2,,,1,,,,1,1,,
2020,2019-20,8,Forest,5992,Wabeno Area,2020,29,28,1,11,,1,1,,1,1,,5,,,,,,,,,,,,,,,,
2021,2020-21,3,Crawford,6251,Wauzeka-Steuben,2021,24,24,,12,,6,2,,,2,,2,,,,,,,,,,,,,,,,
2018,2017-18,3,Crawford,6251,Wauzeka-Steuben,2018,33,32,1,12,,5,,,1,,,5,,,,,,,,,,,,,,1,,
2019,2018-19,4,Vernon,6321,Westby Area,2019,88,85,3,63,,17,1,1,5,6,,20,3,,1,,,,,,,1,1,,,1,,
2017,2016-17,5,Columbia,4634,Randolph,2017,41,36,5,26,,4,,3,6,,,8,1,,1,,,,,,,1,1,,,,,
2018,2017-18,1,Waukesha,3822,Mukwonago,2018,412,400,12,301,,36,1,19,31,15,,90,1,,15,,,6,,5,3,7,7,3,15,10,,1
2017,2016-17,2,Green,700,Brodhead,2017,95,92,3,64,,15,2,2,5,1,,21,,,,,,1,,,,,2,1,1,5,,
2018,2017-18,5,Juneau,3871,Necedah Area,2018,58,53,5,26,,3,,,1,1,,11,,,1,,,,,,,,2,,2,,,
2021,2020-21,9,Oneida,5733,Three Lakes,2021,33,32,1,15,,10,,,1,,,1,,,,,,,,,,,,,1,,,
2018,2017-18,11,Polk,238,Unity,2018,63,60,3,38,,2,4,,5,,,8,3,,3,,,1,,,,,1,,1,1,,1
2020,2019-20,10,Marathon,5467,Spencer,2020,71,69,2,30,,13,,1,1,1,,11,,,,,,,,,,,,,,,,
2018,2017-18,5,Marquette,6335,Westfield,2018,83,77,6,48,,9,1,3,3,,,10,1,,,,,1,,,2,,1,1,2,,,
2020,2019-20,9,Marathon,196,Athens,2020,49,47,2,24,,10,,1,2,,,9,,,,,,,,,,,,,,,,
2019,2018-19,4,Vernon,5985,Viroqua Area,2019,95,89,6,59,,13,1,5,6,7,,12,,,,,,,,,,1,2,,6,,,
2017,2016-17,2,Green,3682,Monroe,2017,176,163,13,111,,22,6,2,9,1,,39,1,,,,,1,,,2,1,1,,7,4,,
2017,2016-17,2,Rock,3612,Milton,2017,246,238,8,166,,37,,3,15,10,,61,,1,1,,,5,,,2,3,1,1,6,2,,
2020,2019-20,11,Barron,4802,Rice Lake Area,2020,157,145,12,116,,17,4,3,6,15,,32,,3,3,,,18,,,,,,,4,,,
2019,2018-19,2,Dane,3269,Madison Metropolitan,2019,1990,1648,342,1266,,322,1,51,67,136,,341,9,6,21,,,12,,10,5,16,10,1,100,18,,1
2018,2017-18,3,Richland,4851,Richland,2018,92,77,15,63,,22,,2,9,2,,7,1,1,3,,,,,,,,,,3,3,,
2020,2019-20,7,Manitowoc,4760,Reedsville,2020,43,41,2,33,,9,,3,3,,,12,,,,,,,,,,,,,,,,
2017,2016-17,4,Monroe,5460,Sparta Area,2017,198,191,7,94,,23,2,2,7,5,,29,2,1,,,,1,,,,,1,,4,2,,1
2018,2017-18,11,Polk,1939,Frederic,2018,33,32,1,24,,7,2,,2,1,,4,,,,,,2,,,,,,,1,,,
2018,2017-18,5,Portage,126,Tomorrow River,2018,92,90,2,57,,15,1,2,5,1,,17,,,2,,,2,,,1,,,,,2,,
2020,2019-20,1,Waukesha,3437,Menomonee Falls,2020,305,293,12,262,,24,,18,10,24,,136,,1,3,,,7,,1,5,4,1,,10,1,,2
2020,2019-20,10,Clark,1162,Colby,2020,66,65,1,38,,5,2,1,4,,,21,,,,,,,,,,,,2,1,,,
2017,2016-17,10,Clark,5726,Thorp,2017,50,48,2,33,,13,,,3,,,10,,,,,,1,,1,1,,,,1,,,
2017,2016-17,11,Polk,1120,Clayton,2017,28,28,,20,,6,,1,3,,,4,,,,,,,,,1,,,,,,,
2017,2016-17,10,Clark,4207,Owen-Withee,2017,33,33,,18,,9,,,1,,,7,,,,,,,,,,,,,,,,
2018,2017-18,4,Trempealeau,6426,Whitehall,2018,51,50,1,22,,9,,,2,1,,7,,,,,,2,,1,,,,,,,,
2021,2020-21,7,Brown,182,Ashwaubenon,2021,215,198,17,152,,18,1,19,4,13,,79,,,,,,,,,2,1,,,8,1,,
2018,2017-18,9,Marathon,3787,Mosinee,2018,143,138,5,104,,27,,,14,2,,32,1,,1,,,1,,1,,1,2,,2,2,,
2018,2017-18,8,Marinette,3311,Marinette,2018,157,137,20,92,,31,,,17,3,,10,,1,,,,1,,2,3,1,2,,,2,,
2019,2018-19,3,Sauk,6354,Weston,2019,20,16,4,13,,6,,,,1,,,,,3,,,,,,,,1,,,,,
2020,2019-20,10,Buffalo,2142,Gilmanton,2020,13,13,,7,,3,,,,,,1,,,,,,,,,,,,,,,,
2017,2016-17,1,Waukesha,2420,Hamilton,2017,353,346,7,263,,36,,19,32,19,,96,2,1,6,,,5,,3,5,3,2,,10,5,,1
2019,2018-19,7,Calumet,2534,Hilbert,2019,34,34,,17,,5,,3,2,,,5,,,,,,,,,1,,,,,,,
2019,2018-19,11,Barron,4557,Prairie Farm Public,2019,26,25,1,20,,5,,,1,1,,6,1,,2,,,,,,,,1,,1,,,
2019,2018-19,3,Lafayette,2240,Black Hawk,2019,30,30,,22,,4,,2,4,,,6,,,,,,,,,,,2,,,,,
2020,2019-20,5,Portage,105,Almond-Bancroft,2020,32,32,,21,,4,,1,,2,,12,,,,,,,,,1,,,,,,,
2019,2018-19,5,Wood,4508,Port Edwards,2019,21,20,1,24,,10,1,1,2,3,,5,,,,,,,,,,,,,,1,,
2021,2020-21,2,Rock,422,Beloit Turner,2021,98,92,6,62,,9,4,5,1,3,,30,,,,,,1,,,,,,,5,,,
2017,2016-17,5,Juneau,3948,New Lisbon,2017,41,35,6,22,,7,,3,1,1,,5,,,,,,,,,,1,,,1,1,,
2018,2017-18,1,Waukesha,1376,Kettle Moraine,2018,327,321,6,305,,34,2,13,22,38,,88,2,1,10,,,7,,3,3,10,7,,28,12,,
2020,2019-20,1,Milwaukee,721,Brown Deer,2020,131,125,6,70,,16,1,16,,4,,14,,,1,,,1,,2,2,,,,6,,,
2017,2016-17,8,Marinette,1169,Coleman,2017,58,56,2,29,,10,,2,5,1,,5,,,,,,,,,1,,,,1,,,
2021,2020-21,10,Clark,3899,Neillsville,2021,71,63,8,32,,12,,2,2,2,,12,,,1,,,,,,,,,,1,,,
2017,2016-17,9,Oneida,4781,Rhinelander,2017,190,169,21,132,,46,,3,12,7,,29,,,1,,1,1,,,,1,,,6,3,,
2021,2020-21,7,Manitowoc,2828,Kiel Area,2021,109,106,3,65,,11,,11,,8,,28,,,,,,,,,,,,,3,,,
2017,2016-17,4,Jackson,476,Black River Falls,2017,124,108,16,73,,17,1,,9,3,,24,,,4,,,2,,2,,,2,,1,1,,
2021,2020-21,12,Bayfield,315,Bayfield,2021,25,21,4,21,,10,,,7,,,,,,3,,,,,,,,,,1,,,
2019,2018-19,5,Portage,126,Tomorrow River,2019,89,86,3,65,,19,,5,5,1,,18,1,,1,,,,,,4,1,2,,2,1,,
2017,2016-17,3,Grant,4529,Potosi,2017,24,24,,24,,8,1,,1,,,10,,,,,,,,,,,2,,1,,,
2021,2020-21,3,Iowa,2646,Iowa-Grant,2021,37,36,1,31,,16,,1,,1,,13,,,,,,,,,,,,,,,,
2018,2017-18,8,Oconto,2961,Lena,2018,32,28,4,14,,4,,1,2,,,2,,,,,,,,,1,,,,,2,,
2021,2020-21,6,Dodge,336,Beaver Dam Unified,2021,275,242,33,127,,28,3,14,1,12,,61,,,,,,,,,,,,,4,,,
2021,2020-21,8,Oconto,4074,Oconto Falls Public,2021,109,102,7,71,,20,1,3,3,3,,37,,,2,,,,,,,,,,1,,,
2019,2018-19,4,La Crosse,245,Bangor,2019,43,42,1,38,,10,,2,4,4,,10,,,1,,,,,,2,,1,,1,,,
2017,2016-17,6,Dodge,3367,Mayville,2017,100,94,6,64,,13,1,5,10,2,,17,,1,1,,,1,,,,,,,1,7,,
2019,2018-19,11,Pierce,1666,Elmwood,2019,18,17,1,7,,2,,,,,,3,,,1,,,,,,,,,,,,,
2021,2020-21,9,Taylor,4795,Rib Lake,2021,19,18,1,22,,5,1,,,1,,12,,,,,,,,,,,,,3,,,
2020,2019-20,9,Marathon,5628,Stratford,2020,78,78,,48,,7,,,4,6,,27,,,1,,,1,,,,,,,1,,,
2018,2017-18,10,Taylor,3409,Medford Area Public,2018,180,165,15,114,,36,1,,9,5,,34,1,2,3,,,2,,,,3,4,,2,1,,
2021,2020-21,12,Bayfield,4522,South Shore,2021,7,7,,7,,2,2,1,,,,1,,,,,,,,,,,,,,,,
2017,2016-17,11,Polk,5019,Saint Croix Falls,2017,70,68,2,50,,10,5,,4,3,,13,1,,2,,,,,2,,1,1,,3,,,
2020,2019-20,5,Dodge,4634,Randolph,2020,43,42,1,19,,4,1,2,1,,,5,,,1,,,,,,1,,1,,2,,,
2019,2018-19,10,Clark,3899,Neillsville,2019,62,58,4,41,,15,,4,5,1,,12,,,,,,,,1,,1,,,,,,
2019,2018-19,6,Dodge,2576,Horicon,2019,44,41,3,32,,6,,6,3,1,,9,,,1,,,,,1,,,1,,,1,,
2018,2017-18,2,Dane,350,Belleville,2018,74,69,5,49,,8,,,2,6,,23,,,,,,3,,,,,,,3,1,,
2017,2016-17,1,Milwaukee,5355,Shorewood,2017,161,158,3,145,,13,2,7,4,14,,39,,1,2,,,3,,1,,7,1,,34,,,
2020,2019-20,7,Sheboygan,4641,Random Lake,2020,67,62,5,41,,8,2,9,1,2,,12,,,,,,1,,,,,,,,1,,1
2017,2016-17,6,Dodge,3171,Lomira,2017,103,98,5,46,,11,,1,8,,,14,,,2,,,,,,,,,,,,,
2019,2018-19,4,Jackson,476,Black River Falls,2019,121,108,13,60,,16,,2,3,3,,17,,,,,,,,,1,1,2,1,2,,,
2018,2017-18,8,Waupaca,1141,Clintonville,2018,135,126,9,50,,20,,2,2,3,,9,,,,,,2,,,1,1,1,1,2,3,,
2021,2020-21,8,Oconto,2961,Lena,2021,24,20,4,13,,5,,1,,1,,5,,,,,,1,,,,,,,,,,
2021,2020-21,11,Dunn,1645,Elk Mound Area,2021,91,87,4,48,,19,,,1,5,,19,,,,,,,,,,,,,,,,
2017,2016-17,6,Winnebago,3892,Neenah Joint,2017,474,429,45,302,,60,,16,24,22,,113,1,,4,,,6,,3,2,1,1,1,6,1,,
2021,2020-21,2,Rock,1134,Clinton Community,2021,87,87,,37,,7,,6,,3,,13,,,,,,,,,,1,,,5,,,
2019,2018-19,12,Sawyer,2478,Hayward Community,2019,135,123,12,88,,23,3,5,7,8,,16,,,3,,,2,,2,,,2,,8,1,,1
2019,2018-19,5,Juneau,3948,New Lisbon,2019,51,48,3,27,,8,,,1,,,6,,,1,,,,,,1,,,,1,3,,
2018,2017-18,2,Dane,3794,Mount Horeb Area,2018,212,201,11,132,,23,,4,12,6,,56,,,6,,,2,,,,1,1,1,5,4,,
2021,2020-21,10,Clark,2226,Granton Area,2021,13,11,2,10,,1,,1,2,,,6,,,,,,,,,,,,,,,,
2018,2017-18,1,Milwaukee,1253,Cudahy,2018,181,165,16,105,,24,,11,9,4,,31,1,,3,,,2,,1,2,2,1,,,6,,
2019,2018-19,2,Walworth,6461,Whitewater Unified,2019,161,148,13,98,,24,,6,7,2,,39,,,,,,,,1,1,2,2,,3,1,,
2017,2016-17,2,Jefferson,6125,Watertown Unified,2017,374,330,44,195,,43,,8,19,3,,69,,,4,,,2,,,3,,2,,9,4,,1
2017,2016-17,2,Walworth,6482,Williams Bay,2017,31,29,2,21,,4,1,2,1,3,,4,1,,,,,,,,,,1,1,2,,,
2017,2016-17,12,Bayfield,315,Bayfield,2017,27,26,1,14,,3,4,,,1,,2,,,,,,,,,,,1,,2,,,
2017,2016-17,3,Richland,2660,Ithaca,2017,30,29,1,25,,10,,,2,1,,7,,,,,,,,,,,1,,,,,
2021,2020-21,2,Dane,3794,Mount Horeb Area,2021,192,186,6,111,,32,,7,,20,,37,,,,,,1,,,,,,,9,2,,
2018,2017-18,2,Dane,3332,Marshall,2018,94,85,9,44,,9,,,5,2,,13,,,1,,,,,1,,,,,2,1,,
2021,2020-21,5,Waushara,4375,Tri-County Area,2021,39,38,1,19,,10,,1,2,,,5,,,,,,,,,,,,,,,,
2021,2020-21,4,Trempealeau,485,Blair-Taylor,2021,47,45,2,29,,14,2,,,1,,9,,,1,,,,,,,,,,1,,,
2021,2020-21,11,Pierce,4578,Prescott,2021,97,95,2,65,,6,8,1,1,19,,24,,,1,,,1,,,,,,,2,,,
2017,2016-17,4,Monroe,5747,Tomah Area,2017,246,228,18,105,,17,,1,13,10,,32,2,,2,,,,,1,2,1,,,3,1,,1
2021,2020-21,10,Buffalo,3668,Mondovi,2021,51,51,,40,,13,3,1,1,3,,16,,,,,,,,,,,,,1,,,
2018,2017-18,2,Rock,2695,Janesville,2018,887,784,103,479,,114,,16,76,18,,100,1,3,8,,,4,,2,4,8,6,,14,10,,2
2017,2016-17,3,Vernon,5960,Kickapoo Area,2017,43,38,5,21,,4,1,,3,1,,8,,,2,,,,,,,,,,,,,
