COHORT,COUNTY,COHORT_COUNT,N_NOTCOMPLETED,N_COMPLETED,N_COLLEGE_GOING,COMPLETION_RATE,COLLEGE_GOING_RATE
2021,Wood,914,65,849,435,0.928884026,0.512367491
2020,Marquette,135,10,125,53,0.925925926,0.424
2019,Adams,134,10,124,39,0.925373134,0.314516129
2021,Ashland,224,12,212,88,0.946428571,0.415094340
2018,Jefferson,1010,73,937,631,0.927722772,0.673425827
2017,Richland,128,11,117,85,0.9140625,0.726495726
2019,Jackson,211,19,192,115,0.909952607,0.598958333
2019,,66051,6457,59594,42034,0.902242207,0.705339464
2020,Waushara,192,8,184,91,0.958333333,0.494565217
2021,Marinette,411,27,384,213,0.934306569,0.5546875
2019,Marinette,472,31,441,271,0.934322034,0.614512472
2017,Waushara,176,17,159,101,0.903409091,0.635220126
2019,Oconto,289,30,259,183,0.896193772,0.706563707
2018,Iron,52,,52,39,,0.75
2018,Dunn,466,20,446,268,0.957081545,0.600896861
